zcta area pop
561 0.54 69.0
562 57.03 6262.0
563 14.96 1304.0
564 65.97 1666.0
565 28.23 2268.0
566 60.64 12606.0
567 14.57 2193.0
568 141.57 416.0
569 14.69 21908.0
570 5.18 189.0
571 38.51 1920.0
572 44.86 3256.0
573 31.58 13897.0
574 17.51 613.0
575 20.61 1916.0
576 108.08 4582.0
577 32.62 5124.0
578 2.64 606.0
579 17.96 1373.0
580 0.6 987.0
581 7.07 115.0
582 1.86 338.0
583 193.19 3516.0
584 18.15 804.0
585 23.98 1679.0
586 80.26 3168.0
587 239.08 295.0
588 8.29 1702.0
589 19.36 5137.0
590 18.93 20555.0
591 19.66 499.0
592 15.65 4569.0
593 46.76 2474.0
594 1.1 914.0
595 2.59 708.0
596 18.03 814.0
597 41.65 2818.0
598 56.91 1977.0
599 14.34 848.0
600 43.57 4061.0
601 30.59 6309.0
602 14.09 7896.0
603 17.72 944.0
604 0.41 160.0
605 46.41 365.0
606 3.23 175.0
607 43.81 1363.0
608 45.68 2438.0
609 34.88 1952.0
610 9.52 306.0
611 30.12 4945.0
612 0.44 405.0
613 17.2 1753.0
614 1.15 345.0
615 22.1 797.0
616 3.33 198.0
617 0.61 518.0
618 54.89 53606.0
619 13.74 14733.0
620 0.75 2620.0
621 38.53 7148.0
622 24.3 2037.0
623 31.63 6277.0
624 23.02 697.0
625 12.98 10980.0
626 6.37 17568.0
627 176.8 674.0
628 17.17 1722.0
629 38.88 2016.0
630 15.43 207.0
631 1.96 154.0
632 8.84 3031.0
633 67.03 2233.0
634 13.09 7903.0
635 2.05 9628.0
636 11.41 29952.0
637 4.07 7349.0
638 15.79 26977.0
639 2.13 16395.0
640 1.06 1948.0
641 4.19 20702.0
642 2.14 10121.0
643 0.9 10158.0
644 7.93 11303.0
645 0.54 6489.0
646 42.33 27582.0
647 15.4 29857.0
648 6.81 21482.0
649 1.49 5716.0
650 43.09 25636.0
651 0.71 7692.0
652 2.25 15335.0
653 16.57 29343.0
654 58.45 35040.0
655 35.69 3385.0
656 7.15 780.0
657 43.23 823.0
658 3.36 173.0
659 14.27 804.0
660 41.18 397.0
661 0.94 497.0
662 6.07 673.0
663 16.35 2948.0
664 59.6 10510.0
665 5.09 277.0
666 0.32 581.0
667 13.82 537.0
668 2.39 722.0
669 4.14 363.0
670 19.61 470.0
671 10.19 339.0
672 12.72 1097.0
673 17.77 250.0
674 41.0 576.0
675 53.98 6602.0
676 2.11 281.0
677 39.68 1194.0
678 15.47 1381.0
679 0.61 492.0
680 3.82 483.0
681 13.77 751.0
682 9.96 326.0
683 15.35 417.0
684 0.44 59.0
685 7.83 305.0
686 23.12 1980.0
687 6.33 114.0
688 33.17 953.0
689 18.02 3825.0
690 15.42 497.0
691 67.91 5061.0
692 11.66 388.0
693 3.62 3367.0
694 9.9 183.0
695 11.81 1674.0
696 8.58 213.0
697 0.49 366.0
698 11.13 297.0
699 76.7 1988.0
700 0.54 639.0
701 13.97 763.0
702 32.3 3232.0
703 7.61 161.0
704 2.06 277.0
705 23.89 1634.0
706 10.82 1484.0
707 44.14 1020.0
708 2.89 266.0
709 1.04 2471.0
710 43.61 1036.0
711 33.9 677.0
712 9.79 536.0
713 0.35 215.0
714 3.57 1572.0
715 15.02 861.0
716 44.16 1162.0
717 1.23 354.0
718 65.84 18787.0
719 33.93 634.0
720 12.52 1356.0
721 2.21 680.0
722 3.32 259.0
723 23.78 2733.0
724 8.39 865.0
725 3.39 1523.0
726 15.7 3268.0
727 6.15 1292.0
728 0.52 110.0
729 8.99 1675.0
730 38.46 271.0
731 6.89 495.0
732 18.74 764.0
733 9.14 265.0
734 47.19 1634.0
735 21.8 4851.0
736 30.57 2457.0
737 32.73 1164.0
738 21.03 775.0
739 1.47 1395.0
740 1.39 167.0
741 14.56 19880.0
742 0.45 127.0
743 2.92 651.0
744 26.65 2938.0
745 4.98 1549.0
746 15.24 1833.0
747 10.46 509.0
748 9.88 5870.0
749 3.95 3109.0
750 32.89 1644.0
751 37.33 5172.0
752 21.89 1798.0
753 16.22 15598.0
754 23.51 3311.0
755 32.02 3686.0
756 0.16 147.0
757 41.23 13344.0
758 66.0 2859.0
759 0.35 124.0
760 17.49 3601.0
761 48.6 25307.0
762 87.01 17867.0
763 26.38 14578.0
764 34.11 7802.0
765 14.31 5913.0
766 11.48 3001.0
767 54.2 4763.0
768 45.61 3039.0
769 10.35 2891.0
770 5.87 1494.0
771 38.81 10201.0
772 34.72 54447.0
773 24.67 24438.0
774 59.5 18308.0
775 22.82 8084.0
776 40.62 7338.0
777 1.45 1487.0
778 54.38 10753.0
779 45.88 2854.0
780 33.04 9826.0
781 21.51 7699.0
782 57.92 9918.0
783 50.56 9123.0
784 0.5 329.0
785 9.89 2258.0
786 5.87 2029.0
787 15.65 2411.0
788 21.56 4402.0
789 40.43 2246.0
790 12.78 6191.0
791 13.02 2451.0
792 4.92 885.0
793 23.71 12540.0
794 57.35 17228.0
795 34.46 35102.0
796 18.7 1486.0
797 24.06 4275.0
798 18.81 43398.0
799 32.33 42810.0
800 0.1 586.0
801 57.51 11324.0
802 17.23 1207.0
803 12.85 172.0
804 25.36 6627.0
805 0.28 158.0
806 31.65 1826.0
807 7.56 245.0
808 67.79 277.0
809 29.28 1162.0
810 22.2 1874.0
811 25.07 786.0
812 5.09 1446.0
813 13.77 867.0
814 6.09 118.0
815 35.8 1910.0
816 6.56 320.0
817 74.35 1886.0
818 8.25 351.0
819 2.15 181.0
820 8.19 389.0
821 1.61 178.0
822 14.18 937.0
823 13.95 1714.0
824 21.93 2076.0
825 2.94 300.0
826 4.25 187.0
827 3.42 1054.0
828 1.73 242.0
829 26.58 7221.0
830 152.4 4042.0
831 6.19 1649.0
832 42.32 482.0
833 6.34 512.0
834 14.27 942.0
835 59.48 1802.0
836 12.49 885.0
837 8.04 437.0
838 2.96 126.0
839 34.84 1131.0
840 4.94 253.0
841 4.5 296.0
842 34.62 14511.0
843 10.48 2297.0
844 109.67 2180.0
845 52.76 764.0
846 5.71 633.0
847 8.58 2460.0
848 23.83 2312.0
849 4.27 307.0
850 33.25 1668.0
851 2.26 94.0
852 16.67 1024.0
853 14.96 665.0
854 3.51 452.0
855 23.5 2908.0
856 9.59 1838.0
857 44.4 4518.0
858 6.56 737.0
859 3.39 335.0
860 3.95 14707.0
861 5.92 7567.0
862 53.1 26540.0
863 22.18 306.0
864 50.62 3528.0
865 66.4 627.0
866 1.72 127.0
867 61.95 150.0
868 45.5 1574.0
869 36.59 871.0
870 63.16 4610.0
871 53.58 2274.0
872 28.98 403.0
873 5.55 2750.0
874 65.82 6200.0
875 4.26 238.0
876 15.16 894.0
877 123.35 3877.0
878 46.33 9448.0
879 67.17 17416.0
880 80.38 7106.0
881 35.25 4401.0
882 86.68 6594.0
883 97.4 2603.0
884 43.95 574.0
885 14.79 857.0
886 5.08 608.0
887 32.53 13588.0
888 16.97 77.0
889 189.64 1166.0
890 58.58 600.0
891 2.74 199.0
892 44.29 4842.0
893 58.16 3298.0
894 440.59 605.0
895 2.72 385.0
896 46.76 2835.0
897 111.14 366.0
898 122.24 436.0
899 86.95 1770.0
900 182.18 259.0
901 63.59 187.0
902 42.93 498.0
903 9.79 59.0
904 22.02 2220.0
905 16.09 748.0
906 32.79 609.0
907 2.33 17.0
908 3.59 533.0
