Subcounty	Area	Pop
697	329.407471512	303
698	35.564033213	2537
699	41.0741697588	7797
700	6.25948292129	18604
701	39.1607656218	1842
702	25.1827770782	766
703	45.1299565961	10484
704	55.824364619	33
705	44.8949745328	20506
706	40.3819471742	1219
707	404.038775362	21999
708	25.0695769912	1955
709	35.3492458287	18045
710	30.3738617112	5566
711	42.9008210235	5677
712	44.2608610714	4949
713	45.4996434696	6493
714	29.6122392227	1041
715	28.8722631566	26596
716	45.9618372934	2130
717	307.570760544	999
718	67.6869003046	7788
719	47.9484243618	6003
720	50.2267053135	2011
721	43.9344763094	13700
722	4.78437752757	28892
723	42.0370579535	3617
724	4.09125030599	15122
725	101.42933517	2154
726	65.2447958881	7045
727	36.7087325924	2318
728	42.1237397831	2264
729	22.3889449367	1178
730	27.559343769	1392
731	53.5429701407	4120
732	19.7950707739	39999
733	46.9435850265	29830
734	36.4456832303	29123
735	85.0006776952	1386
736	51.0774594488	1722
737	43.6798003414	1335
738	45.0133341009	1139
739	35.6919032456	2368
740	41.0616430655	312
741	1.47141889182	10242
742	38.753845002	2313
743	24.2161915707	2120
744	36.3496071531	906
745	11.2275878578	18140
746	39.3088318778	1709
747	26.4995493777	8822
748	48.4355669386	1852
749	39.0839127909	3722
750	31.1012659101	5852
751	64.8542649121	5734
752	51.3018171434	1156
753	114.320382104	213764
754	46.6964542637	2849
755	29.3495632212	7985
756	77.9051113563	1191
757	36.8362250172	3517
758	7.57855677476	29333
759	35.7220713254	3265
760	38.0928125091	1365
761	36.119785343	1126
762	58.1358904974	6538
763	22.5373733564	6942
764	65.0054852353	1436
765	54.4530492344	1609
766	49.1071909815	3394
767	66.3710365031	332
768	13.1449356406	77187
769	33.8128081323	10293
770	39.9511260684	4473
771	65.8486045896	6267
772	9.23055016655	482
773	62.6333305321	1673
774	108.201526412	1957
775	47.5897973801	3154
776	45.570131409	5233
777	25.2002991592	12005
778	72.0322964605	6133
779	36.2920293062	2264
780	13.1536808509	2811
781	32.2277988043	10160
782	50.6806639678	6398
783	36.9314076545	1707
784	79.1100974742	12862
785	110.863500859	6197
786	130.103151937	5969
787	39.9885594295	9161
788	39.7021412438	2496
789	27.5428931211	5327
790	25.9845221284	1216
791	38.0372072574	1051
792	41.6356921832	408
793	35.0467762246	1041
794	61.9596864035	2916
795	19.19266092	1969
796	39.8691616331	733
797	32.2904419233	2371
798	29.506391676	914
799	36.2930598125	1161
800	35.0154436612	7278
801	86.2640003504	3547
802	30.6720899849	4789
803	28.7180690758	1536
804	87.8074044852	3598
805	44.3823608071	1825
806	57.3696467539	1388264
807	57.8466433424	81620
808	169.422839845	1510
809	63.2105665357	2335
810	33.3658657236	6666
811	34.3779421548	24202
812	89.7790992133	2785
813	161.739486493	3218
814	43.6376800881	3146
815	8.13651818039	11102
816	50.9256020573	1326
817	32.4511584252	2305
818	83.1092697891	1157
819	37.1719708222	210602
820	43.0278871917	3523
821	66.5205699467	7101
822	51.1894753611	22647
823	27.4107481672	6352
824	51.7902473704	7075
825	20.4869570637	4149
826	77.7247553901	2805
827	21.9354109947	97733
828	71.109643183	4786
829	39.8014710027	7556
830	57.7332532931	23147
831	8.76965596203	23821
832	7.75287603623	888
833	48.9615197162	58325
834	9.28469826934	470
835	65.839101075	4871
836	33.6696129392	7955
837	43.9125433992	6836
838	26.1375436174	1230
839	31.4916231402	4422
840	49.3373788163	2469
841	42.1629588659	1276
842	6.59408625042	20012
843	51.4040612001	95907
844	39.6624430084	788
845	82.9963554175	1435
846	33.1837800204	6723
847	68.1884251809	11838
848	50.2065924882	36801
849	59.4106309609	533
850	29.5141697008	88182
851	21.8154282537	7629
852	38.9466639547	3641
853	52.6662421517	1427
854	36.290048603	9112
855	51.9125857196	2962
856	50.7322097431	29552
857	46.87341871	2219
858	48.2202393976	7341
859	47.8877739152	1920
860	41.9367764533	2693
861	5.05445935149	15612
862	37.5955417047	5671
863	32.2663831355	3514
864	137.117573535	203443
865	56.4176682573	1856
866	42.3836964681	5160
867	27.6825975661	2008
868	5.57078776456	23617
869	36.9145770822	4915
870	29.9177184918	1736
871	38.7790601653	4312
872	35.7196029753	2494
873	37.6871791534	1954
874	27.4592209567	9033
875	17.4400752158	27515
876	36.1116918729	88536
877	26.9686845433	5581
878	39.9102455886	436
879	63.1457878865	906
880	29.7274053411	1081
881	39.8595079248	3301
882	41.4809506097	6680
883	25.6003699435	1841
884	36.7622683375	1673
885	10.8945822187	31551
886	47.1099158375	4196
887	2.22095407119	12412
888	39.3257203654	2505
889	52.4798637665	261220
890	108.558327903	1842
891	31.0944037192	1726
892	49.5397866121	5988
893	23.475690406	3789
894	54.2259841926	1109
895	44.3130373513	823
896	51.4618324841	5984
897	25.5334075014	22152
898	53.8680433142	1785
899	6.04098818559	1658
900	69.9419796149	11053
901	39.6282880394	1596
902	60.4151297543	3885
903	36.5679123127	2373
904	11.6782206294	17126
905	133.862491975	13169
906	69.6269516572	5550
907	44.4952929394	631
908	48.139443307	6490
909	46.8234150261	10924
910	49.4477039878	7108
911	107.45698662	1747
912	42.7340612531	1569
913	38.5869794396	4253
914	26.3983115028	2739
915	44.6639646869	1113
916	97.2546532409	105
917	46.126727558	1260
918	51.1682567396	1379
919	68.110160375	2502
920	30.0382568335	9791
921	25.2359062578	855
922	54.8932587965	3298
923	3.07191554326	10893
924	36.7113847271	3856
925	72.575937343	4567
926	59.4444415269	1977
927	53.5819154773	1734
928	9.8597910207	56944
929	37.8013255764	1972
930	28.5473185551	1622
931	36.2920486113	1696
932	55.0187570045	652
933	54.0581962326	3346
934	15.2811959215	28500
935	2.12439691083	7167
936	40.2439689913	1146
937	43.1183435544	2220
938	39.2060901356	3572
939	66.4018655895	3929
940	70.2761454905	7677
941	31.2290058263	1109
942	37.3305043034	2671
943	25.7359396221	834
944	42.0380208919	4000
945	13.9218701623	1948
946	30.0530267794	1512
947	36.187091802	2538
948	38.4197019064	8921
949	43.4137957546	1402
950	46.7616224898	945
951	37.704866486	678
952	39.1935020521	1877
953	60.0578533574	4288
954	14.113413434	29192
955	38.3954651256	2902
956	20.989174607	2405
957	32.5753639637	4532
958	58.8424868872	5750
959	39.856578955	7694
960	9.05276679794	31074
961	51.0472952301	2860
962	37.8840490883	36284
963	33.8589434603	1588609
964	44.4679461069	1961
965	51.4367895223	4323
966	58.0849682768	2901
967	38.858429609	9171
968	48.7766444261	7212
969	35.4659146562	5061
970	36.4314322055	1651
971	191.772371103	761057
972	36.3420754614	2542
973	27.7849431676	1624
974	42.287794909	1571
975	34.6039326747	2308
976	58.3151310149	1524
977	46.5731425514	2674
978	29.718108005	891
979	41.3491558503	56964
980	26.8303488299	2364
981	47.5717648723	4538
982	26.7495500366	2025
983	25.6290963184	766
984	24.9537672407	5434
985	21.0647799423	700
986	79.3143226522	6449
987	40.7786067473	3404
988	61.2260852676	1298
989	112.582857081	4928
990	56.5503108967	14341
991	67.8327113388	5888
992	32.8044131836	43798
993	3.98978617531	4939
994	36.1687202966	8532
995	20.7587728717	353
996	5.71794166151	30921
997	206.741316299	2395
998	30.4887320756	8704
999	33.7889420094	25823
1000	22.5029342163	1584
1001	57.7958902345	3789
1002	40.1490384786	5410
1003	31.145069182	45195
1004	34.5544811167	46461
1005	83.2068211621	2433
1006	45.3997121638	5399
1007	48.5806428346	1886
1008	37.1684217726	2059
1009	37.0409664136	3916
1010	34.8982582293	2203
1011	35.6964144614	3743
