O D W
21 21 13708
21 22 11
21 23 16
21 24 12
21 25 114
21 26 16
21 27 25
21 28 579
21 29 2
21 31 11
21 32 58
21 35 6
21 36 24
21 37 20
21 38 14
21 39 84
21 40 19
21 41 895
21 42 4
21 43 52
21 44 142
21 45 90
21 46 99
21 47 538
21 48 245
21 49 43
21 50 15
21 51 55
21 52 24
21 53 3
21 54 16
21 55 12
21 56 7
21 57 5
21 58 20
21 59 32
21 60 15
21 61 11
22 0 13
22 1 21
22 2 47
22 3 104
22 4 13
22 5 78
22 6 164
22 7 20
22 8 18
22 9 7
22 10 26
22 11 115
22 12 8
22 13 15
22 14 115
22 15 17
22 16 23
22 17 1909
22 18 11
22 19 89
22 20 26
22 21 100
22 22 6423
22 23 8
22 24 13
22 25 374
22 26 834
22 27 33
22 28 193
22 29 4
22 30 6
22 31 23
22 32 17
22 33 3
22 35 44
22 36 19
22 37 43
22 38 5
22 39 14
22 40 492
22 41 329
22 42 27
22 43 99
22 44 263
22 45 31
22 46 324
22 47 950
22 48 58
22 49 61
22 50 1
22 51 72
22 52 879
22 53 7
22 54 57
22 55 18
22 56 8
22 57 19
22 58 11
22 59 46
22 60 26
22 61 17
23 0 2
23 1 8
23 2 35
23 3 81
23 4 9
23 5 5
23 6 39
23 7 57
23 8 409
23 9 65
23 10 18
23 11 28
23 12 8
23 13 5
23 14 293
23 15 7
23 16 12
23 17 68
23 18 14
23 19 30
23 20 13
23 21 26
23 22 46
23 23 16877
23 24 12
23 25 21
23 26 5
23 27 27
23 28 171
23 29 818
23 30 629
23 31 81
23 32 17
23 33 7
23 34 9
23 35 24
23 36 119
23 37 12
23 38 17
23 39 15
23 40 26
23 41 256
23 42 55
23 43 41
23 44 140
23 45 34
23 46 203
23 47 201
23 48 39
23 49 55
23 50 3
23 51 24
23 52 29
23 53 3
23 54 23
23 55 57
23 56 8
23 57 8
23 58 572
23 59 254
23 60 93
23 61 27
24 0 2
24 1 6
24 2 35
24 3 234
24 4 38
24 5 6
24 6 23
24 7 659
24 8 57
24 9 24
24 10 3
24 11 278
24 12 1
24 13 5
24 14 2417
24 15 16
24 16 74
24 17 72
24 18 5
24 19 13
24 20 11
24 21 27
24 22 9
24 23 13
24 24 7848
24 25 9
24 26 39
24 27 1561
24 28 54
24 29 8
24 30 7
24 31 39
24 32 4
24 33 485
24 34 1
24 35 25
24 36 23
24 37 200
24 38 8
24 39 10
24 40 16
24 41 106
24 42 58
24 43 181
24 44 797
24 45 9
24 46 95
24 47 166
24 48 20
24 49 231
24 51 21
24 52 47
24 53 19
24 54 182
24 55 883
24 56 43
24 57 70
24 58 11
24 59 343
24 60 376
24 61 41
25 0 21
25 1 31
25 2 34
25 3 87
25 4 27
25 5 89
25 6 2432
25 7 33
25 8 14
25 9 4
25 10 25
25 11 114
25 12 6
25 13 6
25 14 127
25 15 7
25 16 19
25 17 713
25 18 12
25 19 217
25 20 18
25 21 90
25 22 198
25 23 6
25 24 6
25 25 6616
25 26 75
25 27 39
25 28 186
25 29 8
25 30 5
25 31 13
25 32 18
25 33 5
25 35 33
25 36 24
25 37 60
25 39 12
25 40 190
25 41 352
25 42 21
25 43 86
25 44 278
25 45 25
25 46 296
25 47 1243
25 48 71
25 49 59
25 50 1
25 51 69
25 52 222
25 53 1
25 54 47
25 55 22
25 56 11
25 57 21
25 58 9
25 59 39
25 60 22
25 61 34
26 0 3
26 1 1
26 2 22
26 3 169
26 4 303
26 5 22
26 6 40
26 7 246
26 8 40
26 9 19
26 10 6
26 11 114
26 13 3
26 14 514
26 15 9
26 16 33
26 17 490
26 18 6
26 19 10
26 20 8
26 21 27
26 22 461
26 23 15
26 24 40
26 25 15
26 26 4573
26 27 71
26 28 47
26 29 5
26 30 9
26 31 65
26 32 9
26 33 129
26 34 2
26 35 81
26 36 21
26 37 125
26 38 5
26 39 4
26 40 42
26 41 98
26 42 79
26 43 153
26 44 287
26 45 9
26 46 348
26 47 131
